"r=1,s=1","r=2,s=4","r=2,s=10"
0.18076187372207642,0.038387998938560486,0
0.4472716450691223,0.05059567466378212,0
0.572878360748291,0.1104574203491211,0
0.6455361247062683,0.1514928638935089,0
0.6711280941963196,0.2179732322692871,0
0.7476099133491516,0.2934255003929138,0
0.7599647045135498,0.34622737765312195,0
0.7880570888519287,0.42065009474754333,0
0.7971760630607605,0.45830267667770386,0
0.8152669668197632,0.48816001415252686,0
0.8211501836776733,0.5547874569892883,0
0.823209285736084,0.595528781414032,0
0.8342403173446655,0.6250919103622437,0
0.843506395816803,0.6661273837089539,0
0.8452713489532471,0.6812766790390015,0
0.833946168422699,0.6890718936920166,0
0.84880131483078,0.720988392829895,0
0.8511545658111572,0.7261362075805664,0
0.8523312211036682,0.7461391091346741,0
0.8614501953125,0.7361376881599426,0
0.8623327016830444,0.7609942555427551,0
0.8570377826690674,0.7690836787223816,0
0.8608618974685669,0.7720252871513367,0
0.862626850605011,0.7845271229743958,0
0.8640976548194885,0.7864391803741455,0
0.8611560463905334,0.7839388251304626,0
0.8688042163848877,0.8042359352111816,0
0.858361542224884,0.8067362904548645,0
0.8693925738334656,0,0
0.8715987801551819,0,0
0.8749816417694092,0,0
0.8795410990715027,0,0
0.8740991353988647,0,0
0.8696867227554321,0,0
0.8764524459838867,0,0
0.8771878480911255,0,0
0.8658626079559326,0,0
0.8783644437789917,0,0
0.8796882033348083,0,0
0.8607147932052612,0,0
0.874540388584137,0,0
0.8832181096076965,0,0
0.877481997013092,0,0
0.8802765011787415,0,0
0.8773348927497864,0,0
0.8782173991203308,0,0
0.8801294565200806,0,0
0.8845418691635132,0,0
0.8792469501495361,0,0
0.8848360180854797,0,0
0.8767465949058533,0,0
0.8783644437789917,0,0
0.8821885585784912,0,0
0.8836593627929688,0,0
0.8845418691635132,0,0
0.8868951201438904,0,0
0.8802765011787415,0,0
0.8818944096565247,0,0
0.888218879699707,0,0
0.8777761459350586,0,0
